time,object temperature,ambient temperature
0.0,64.24781468531465,18.0
1.551000000000002,64.25262237762233,18.0
3.7150000000000034,64.25371503496498,18.0
5.8770000000000095,64.25080128205123,18.0
8.041000000000011,64.2435897435897,18.0
10.204999999999998,64.22187500000001,18.0
12.369,64.205078125,18.0
14.53200000000001,64.178515625,18.0
16.695000000000007,64.15351562500001,18.0
18.85900000000001,64.12812500000001,18.0
20.411,64.09687500000001,18.0
22.575000000000003,64.05976562500001,19.0
24.739000000000004,64.022265625,19.0
26.902,63.97539062500001,19.0
29.065000000000012,63.93437500000001,19.0
31.229,63.904687500000016,19.0
33.39200000000001,63.86757812500001,19.0
35.55600000000001,63.843750000000014,19.0
37.72,63.81992187500001,19.0
39.882999999999996,63.78281250000001,19.0
42.04700000000001,63.753125000000004,19.0
44.211,63.712109375000004,19.0
46.375000000000014,63.665234375000004,19.0
48.538,63.627734375000024,19.0
50.70200000000001,63.59062500000001,19.0
52.866,63.56484375,19.0
55.02900000000001,63.53710937500001,19.0
57.193,63.509375000000006,19.0
59.35700000000001,63.468359375000006,19.0
61.521,63.434765625000004,19.0
63.68400000000001,63.389843750000004,19.0
65.848,63.35429687500001,19.0
68.01299999999999,63.309375000000024,19.0
70.176,63.27578125,19.0
72.34000000000002,63.25,19.0
74.504,63.218750000000014,19.0
76.66799999999999,63.18750000000001,19.0
78.831,63.156250000000014,19.0
80.99500000000002,63.130468750000006,19.0
83.159,63.091406250000006,19.0
85.323,63.059765625000004,19.0
87.48700000000001,63.01679687500002,19.0
89.651,62.98320312500001,19.0
91.81500000000001,62.94570312500001,19.0
93.978,62.90625000000001,19.0
96.14200000000001,62.866796875000006,19.0
98.307,62.82929687500001,19.0
100.47100000000002,62.795703125,19.0
102.634,62.752734375,19.0
104.79800000000002,62.72109375,19.0
106.962,62.682031250000016,19.0
109.12600000000002,62.65625000000001,19.0
111.29,62.625,19.0
113.454,62.593750000000014,19.0
115.61800000000001,62.56250000000001,19.0
117.782,62.531250000000014,19.0
119.94600000000001,62.5,19.0
122.11,62.46875000000001,19.0
124.27300000000001,62.4375,19.0
126.438,62.40625000000001,19.0
128.60200000000003,62.38046875000001,19.0
130.76600000000002,62.341406250000006,19.0
132.92900000000003,62.30976562500001,19.0
135.094,62.26679687500001,19.0
137.25799999999998,62.23320312500001,19.0
139.421,62.190234375,19.0
141.586,62.153125,19.0
143.75,62.121875,19.0
145.914,62.101953125,19.0
148.07800000000003,62.074609375000016,19.0
150.24200000000002,62.0453125,19.0
152.40699999999998,62.01406250000001,19.0
154.57,61.98085937500001,19.0
156.73399999999998,61.94570312500001,19.0
158.899,61.903125,19.0
161.063,61.87187500000001,19.0
163.22700000000003,61.85195312500001,19.0
165.39100000000002,61.824609375,19.0
167.555,61.7953125,19.0
169.71999999999997,61.75859375000001,19.0
171.88299999999998,61.733203124999996,19.0
174.048,61.70390625000002,19.0
176.212,61.67070312500002,19.0
178.375,61.63359375000001,19.0
180.53999999999996,61.60234375000001,19.0
182.704,61.57695312500001,19.0
184.86899999999997,61.542187500000004,19.0
187.03199999999998,61.516796875000004,19.0
189.197,61.480078125000006,19.0
191.361,61.466015625000004,19.0
193.52499999999998,61.43515625000001,19.0
195.68899999999996,61.41171875000001,19.0
197.85399999999998,61.375,19.0
200.01799999999997,61.343750000000014,19.0
202.18200000000002,61.31796875000001,19.0
204.346,61.27890625000001,19.0
206.51099999999997,61.241796875,19.0
208.675,61.206640625000006,19.0
210.839,61.1734375,19.0
213.003,61.1421875,19.0
215.168,61.11289062500001,19.0
217.33100000000002,61.08007812500001,19.0
219.49599999999998,61.06250000000001,19.0
221.661,61.03945312500001,19.0
223.825,61.014453125,19.0
225.98899999999998,60.985546875000004,19.0
228.15299999999996,60.96601562500001,19.0
230.31799999999998,60.935156250000006,19.0
232.483,60.90625000000001,19.0
234.64600000000002,60.87734375,19.0
236.81099999999998,60.851953125,19.0
238.97499999999997,60.82460937500001,19.0
241.139,60.79531250000001,19.0
243.30399999999997,60.764062500000016,19.0
245.46800000000002,60.73085937500001,19.0
247.63299999999998,60.69570312500001,19.0
249.79699999999997,60.653125,19.0
251.961,60.62187500000001,19.0
254.12599999999998,60.596484375,19.0
256.291,60.576953125,19.0
258.454,60.548046875000004,19.0
260.61899999999997,60.528515625,19.0
262.784,60.497656250000006,19.0
264.948,60.468750000000014,19.0
267.11199999999997,60.43984375000001,19.0
269.277,60.414453125000016,19.0
271.442,60.387109375,19.0
273.606,60.35234375000001,19.0
275.77,60.32890625000001,19.0
277.935,60.30156250000001,19.0
280.09999999999997,60.2703125,19.0
282.264,60.2296875,19.0
284.428,60.1984375,19.0
286.593,60.17109375000001,19.0
288.757,60.14765625000001,19.0
290.92199999999997,60.11289062500001,19.0
293.086,60.080078125000014,19.0
295.251,60.062500000000014,19.0
297.41499999999996,60.039453125000016,19.0
299.58,60.01445312500001,19.0
301.745,59.991015625,19.0
303.909,59.963671875,19.0
306.073,59.926953125,19.0
308.238,59.899609375,19.0
310.40299999999996,59.860937500000006,19.0
312.568,59.824218750000014,19.0
314.73199999999997,59.802734375000014,19.0
316.896,59.775781250000016,19.0
319.061,59.76210937500001,19.0
321.22499999999997,59.74101562500001,19.0
323.39,59.71601562500001,19.0
325.555,59.685156250000006,19.0
327.71999999999997,59.661718750000006,19.0
329.884,59.625,19.0
332.048,59.59375,19.0
334.21299999999997,59.562500000000014,19.0
336.378,59.52578125000001,19.0
338.542,59.50234375000001,19.0
340.707,59.47148437500001,19.0
342.872,59.451953125,19.0
345.037,59.42304687500001,19.0
