Time,Length,Radius,Wet mass,Cp,Ambient temperature,Starting temperature,Object temperature
0.0,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.19213286713286
1.5529999999999973,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.17042540792539
3.7120000000000033,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.14689685314683
5.873000000000005,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.12314976689973
7.426000000000002,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.10078671328667
9.584999999999994,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.07421875000001
11.745999999999997,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.06757812500001
13.297999999999988,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.06484375000002
15.458000000000013,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.06015625
17.010000000000005,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.057421875
19.171000000000006,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.04531250000001
20.722,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.03671875000002
22.883,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.0203125
24.434999999999988,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,79.00546875
26.595000000000013,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.98281250000001
28.14700000000001,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.95820312500003
30.308000000000007,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.94296875000002
31.858999999999995,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.91445312500001
34.02,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.889453125
36.17999999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.86054687500001
37.73299999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.835546875
39.89200000000001,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.80703125000001
41.44500000000001,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.79179687500002
43.605,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.7671875
45.158,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.75000000000001
47.31699999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.73281250000001
48.86999999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.71367187500002
51.02999999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.69062500000001
52.58200000000001,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.66171875000002
54.742,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.62500000000001
56.295,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.59375
58.456,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.5625
60.00699999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.52578125000001
62.16799999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.496875
63.72000000000001,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.47382812500001
65.88099999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.4546875
67.432,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.43750000000001
69.593,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.42031250000001
71.145,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.40117187500002
73.306,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.37812500000001
74.85699999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.34921875000002
77.01799999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.31250000000001
78.57000000000001,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.28125
80.73100000000001,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.25
82.282,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.21328125000001
84.443,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.18437500000002
85.99499999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.16679687500002
88.15599999999999,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.14531250000002
89.70800000000001,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.11992187500002
91.869,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.09062500000002
93.42,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.05195312500003
95.581,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,78.01718750000002
97.133,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.98437500000001
99.294,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.95156250000001
100.845,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.93203125
103.006,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.92031250000001
104.558,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.90117187500002
106.719,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.87812500000001
108.271,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.84921875000002
110.432,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.81250000000001
111.983,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.78125
114.144,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.75000000000001
115.696,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.71875000000003
117.857,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.68750000000001
119.409,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.65625
121.57,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.625
123.121,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.58828125000001
125.282,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.56484375000002
126.834,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.53398437500002
128.995,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.514453125
131.15499999999997,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.48554687500003
132.70800000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.46601562500001
134.868,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.43515625
136.421,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.41171875000002
138.58100000000002,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.38046875000002
140.13300000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.34140625
142.293,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.30976562500001
143.846,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.26679687500001
146.00600000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.233203125
148.16700000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.190234375
149.72000000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.15859375
151.88,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.11953125000001
153.433,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.09375000000003
155.59300000000002,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.06250000000001
157.14500000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.03125
159.30600000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,77.0
160.858,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.96875000000001
163.01800000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.93750000000001
164.57100000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.90625000000001
166.731,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.87500000000001
168.284,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.84375000000001
170.44400000000002,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.81250000000001
171.997,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.78671875000002
174.15700000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.75312500000001
175.71000000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.70820312500001
177.87,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.66718750000001
179.42200000000005,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.63007812500001
181.58300000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.59687500000001
183.135,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.567578125
185.296,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.54218750000001
186.848,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.52070312500001
189.009,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.50312500000001
190.56100000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.47421875000002
192.721,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.44296875
194.274,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.40390625
196.43400000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.37226562500001
197.987,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.32929687500001
200.147,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.295703125
202.30900000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.252734375
203.86,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.22109375000001
206.022,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.18203125000001
207.57300000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.15625000000001
209.735,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.125
211.286,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.09375
213.44800000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.0625
215.0,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.03125000000001
217.16000000000005,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,76.00000000000001
218.713,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.96875000000001
220.873,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.93750000000001
222.426,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.91171875
224.587,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.878125
226.139,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.83320312500001
228.3,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.7921875
229.85200000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.760546875
232.01300000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.725
233.565,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.68203125000001
235.726,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.64687500000001
237.278,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.625
239.439,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.603125
240.991,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.56796875
243.152,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.53046875
244.70500000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.487109375
246.865,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.44960937500001
248.418,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.39921875000002
250.57800000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.36562500000002
252.74,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.33007812500001
254.291,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.304296875
256.45300000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.26953125000001
258.004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.25000000000001
260.166,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.22500000000002
261.718,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.20351562500002
263.879,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.17031250000001
265.432,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.140625
267.59200000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.1109375
269.14500000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.06796874999999
271.30600000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,75.0171875
272.858,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.97929687500002
275.019,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.9375
276.571,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.895703125
278.732,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.85781250000001
280.285,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.81250000000001
282.445,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.7671875
283.998,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.729296875
286.159,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.69296875000002
287.711,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.643359375
289.872,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.605078125
291.42400000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.54804687500001
293.58500000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.50585937500001
295.747,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.44843750000001
297.298,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.40039062500001
299.46000000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.34687500000001
301.012,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.31796875000002
303.17400000000004,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.27031250000002
304.725,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.21875
306.887,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.16718750000001
308.44,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.11953125000001
310.6,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.08515625000001
312.153,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,74.03398437500002
314.314,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.99414062500001
315.866,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.948828125
318.027,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.920703125
320.189,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.877734375
321.741,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.84609375000001
323.902,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.80703125000001
325.454,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.78125000000001
327.616,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.75000000000001
329.168,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.71875000000001
331.329,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.68750000000001
332.88100000000003,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.65625000000001
335.043,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.625
336.595,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.59375
338.757,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.5625
340.308,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.53125000000001
342.47,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.50546875
344.022,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.46640625000002
346.184,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.43476562500001
347.736,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.39179687500001
349.897,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.35820312500002
352.059,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.315234375
353.611,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.28359375000001
355.773,0.1192,0.0326,0.376,0.84,4.3,79.19213286713286,73.24453125000001
