Time,Length,Radius,Wet mass,Cp,Ambient temperature,Starting temperature,Object temperature
0.0,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.18505244755245
2.159000000000006,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.19248251748249
4.319000000000003,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.19029720279717
6.478999999999999,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.18192016317013
8.638000000000005,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.17077505827503
10.798000000000002,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.166796875
12.957999999999998,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.16445312500001
15.117999999999997,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.16015625
17.27799999999999,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.155859375
19.43700000000001,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.15351562500001
21.59700000000001,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.13984375000001
23.757000000000005,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.14101562500001
25.916,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.12500000000001
28.076,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.11445312500003
30.235000000000014,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.11328125000003
32.396000000000015,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.09687500000001
34.55600000000001,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.07460937500001
36.715,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.050390625
38.875,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.028125
41.035,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.0171875
43.19400000000002,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,81.00820312500001
45.35400000000001,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,80.991796875
47.51400000000001,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,80.98281250000001
49.67400000000001,0.1592,0.0327,0.552,0.84,19.8,81.19248251748249,80.97187500000001
